Category,Product,City,Order Date,Sales,Discount,Profit
Bakery,Breads & Buns,Karur,2015-03-21,1409,0.16,380.43
Food Grains,Organic Staples,Pudukottai,2018-11-06,914,0.34,338.18
"Eggs, Meat & Fish",Mutton,Tirunelveli,2018-07-06,1352,0.3,527.28
"Eggs, Meat & Fish",Eggs,Trichy,2018-07-06,682,0.25,170.5
Food Grains,Organic Staples,Tirunelveli,2018-06-24,1738,0.22,243.32
Bakery,Cakes,Salem,2015-08-03,2421,0.25,484.2
Food Grains,Organic Staples,Ramanadhapuram,2015-08-03,2245,0.24,404.1
Oil & Masala,Masalas,Vellore,2018-12-17,896,0.12,295.68
Oil & Masala,Spices,Virudhunagar,2018-06-03,1033,0.3,185.94
"Eggs, Meat & Fish",Mutton,Madurai,2018-12-09,1998,0.29,139.86
"Eggs, Meat & Fish",Chicken,Perambalur,2018-12-01,1469,0.15,646.36
"Eggs, Meat & Fish",Eggs,Ramanadhapuram,2018-12-01,1899,0.25,360.81
"Eggs, Meat & Fish",Mutton,Pudukottai,2018-12-01,2194,0.2,153.58
Beverages,Soft Drinks,Vellore,2018-12-01,1942,0.29,504.92
Fruits & Veggies,Organic Vegetables,Kanyakumari,2018-12-01,609,0.3,207.06
"Eggs, Meat & Fish",Chicken,Trichy,2016-02-09,2353,0.26,423.54
Beverages,Soft Drinks,Salem,2016-01-02,1591,0.15,270.47
Food Grains,Rice,Krishnagiri,2016-01-02,1353,0.11,527.67
Beverages,Health Drinks,Namakkal,2016-01-02,1020,0.21,81.6
Snacks,Noodles,Ramanadhapuram,2016-01-02,1362,0.31,177.06
Food Grains,Rice,Krishnagiri,2016-01-02,1733,0.31,433.25
Oil & Masala,Masalas,Tirunelveli,2017-10-28,1949,0.17,97.45
Fruits & Veggies,Organic Fruits,Virudhunagar,2017-10-28,2368,0.34,876.16
Fruits & Veggies,Fresh Vegetables,Pudukottai,2016-12-24,2110,0.25,485.3
Food Grains,Dals & Pulses,Madurai,2016-12-24,1940,0.2,795.4
"Eggs, Meat & Fish",Fish,Vellore,2016-12-24,1557,0.2,638.37
"Eggs, Meat & Fish",Fish,Madurai,2016-12-24,1443,0.19,274.17
Beverages,Soft Drinks,Perambalur,2016-12-24,2024,0.11,910.8
"Eggs, Meat & Fish",Chicken,Viluppuram,2016-12-24,2168,0.16,563.68
"Eggs, Meat & Fish",Chicken,Tirunelveli,2016-08-09,621,0.24,173.88
Food Grains,Organic Staples,Madurai,2016-08-09,1230,0.17,295.2
Snacks,Cookies,Salem,2016-08-09,560,0.34,240.8
Oil & Masala,Edible Oil & Ghee,Tenkasi,2016-02-28,1286,0.22,282.92
Beverages,Health Drinks,Tenkasi,2016-02-28,1242,0.34,149.04
Bakery,Breads & Buns,Krishnagiri,2015-09-13,717,0.21,43.02
Beverages,Soft Drinks,Namakkal,2018-04-07,1480,0.22,444.0
Food Grains,Dals & Pulses,Salem,2018-04-07,826,0.18,247.8
Snacks,Cookies,Ooty,2018-04-07,1846,0.22,276.9
Beverages,Soft Drinks,Viluppuram,2018-04-07,2045,0.12,552.15
Fruits & Veggies,Organic Fruits,Nagercoil,2018-04-07,1983,0.17,773.37
Bakery,Cakes,Bodi,2018-11-12,650,0.16,247.0
Bakery,Breads & Buns,Ramanadhapuram,2017-06-04,2163,0.31,216.3
Fruits & Veggies,Organic Vegetables,Bodi,2017-06-04,1481,0.15,518.35
Snacks,Cookies,Trichy,2017-06-04,2492,0.14,124.6
Bakery,Cakes,Nagercoil,2017-06-04,962,0.33,423.28
Beverages,Health Drinks,Coimbatore,2017-06-04,1432,0.3,214.8
Oil & Masala,Edible Oil & Ghee,Virudhunagar,2017-06-04,523,0.12,78.45
Oil & Masala,Masalas,Chennai,2017-06-04,1540,0.11,646.8
Bakery,Biscuits,Coimbatore,2015-06-01,817,0.15,326.8
"Eggs, Meat & Fish",Fish,Kanyakumari,2015-06-01,2462,0.31,369.3
Fruits & Veggies,Organic Fruits,Perambalur,2015-06-01,962,0.21,288.6
Beverages,Health Drinks,Cumbum,2015-06-01,538,0.19,59.18
Snacks,Cookies,Ooty,2015-06-01,1556,0.17,482.36
Beverages,Health Drinks,Vellore,2017-12-10,2133,0.26,959.85
Beverages,Health Drinks,Tirunelveli,2017-09-11,1474,0.14,235.84
Beverages,Health Drinks,Dindigul,2017-09-11,531,0.14,127.44
Food Grains,Rice,Pudukottai,2017-12-10,1769,0.19,636.84
Fruits & Veggies,Organic Vegetables,Pudukottai,2017-12-10,1257,0.34,62.85
Food Grains,Rice,Ramanadhapuram,2016-11-28,1899,0.27,170.91
Fruits & Veggies,Fresh Fruits,Tirunelveli,2016-11-28,1929,0.3,617.28
Beverages,Soft Drinks,Ooty,2016-11-28,2417,0.1,990.97
"Eggs, Meat & Fish",Mutton,Chennai,2016-11-28,1443,0.25,476.19
Beverages,Soft Drinks,Dharmapuri,2018-12-01,660,0.29,290.4
Bakery,Breads & Buns,Salem,2018-12-01,2114,0.32,359.38
Oil & Masala,Masalas,Tenkasi,2018-12-01,1278,0.14,63.9
Food Grains,Organic Staples,Krishnagiri,2018-06-08,867,0.18,216.75
Food Grains,Organic Staples,Kanyakumari,2015-09-19,943,0.33,150.88
Beverages,Soft Drinks,Theni,2015-09-19,1836,0.17,275.4
"Eggs, Meat & Fish",Fish,Cumbum,2017-06-06,1200,0.19,420.0
Fruits & Veggies,Organic Vegetables,Tirunelveli,2016-11-10,1167,0.18,256.74
"Eggs, Meat & Fish",Chicken,Perambalur,2018-06-16,696,0.34,139.2
Oil & Masala,Masalas,Virudhunagar,2017-01-22,2500,0.33,425.0
Bakery,Cakes,Dharmapuri,2018-12-09,1507,0.16,180.84
Beverages,Soft Drinks,Namakkal,2018-12-09,1612,0.11,612.56
Snacks,Noodles,Theni,2018-12-28,764,0.11,160.44
Snacks,Noodles,Tenkasi,2016-07-30,884,0.31,282.88
Fruits & Veggies,Organic Fruits,Viluppuram,2016-07-30,2443,0.23,781.76
Bakery,Cakes,Vellore,2016-07-30,1147,0.27,137.64
Fruits & Veggies,Organic Vegetables,Coimbatore,2018-09-16,1899,0.21,493.74
Bakery,Cakes,Pudukottai,2018-09-16,744,0.11,66.96
"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-10-13,812,0.17,284.2
Oil & Masala,Masalas,Virudhunagar,2018-10-13,862,0.2,137.92
Snacks,Chocolates,Virudhunagar,2018-10-13,1061,0.13,286.47
Fruits & Veggies,Fresh Vegetables,Pudukottai,2018-10-13,2365,0.31,520.3
Snacks,Chocolates,Karur,2016-09-26,1421,0.14,454.72
Fruits & Veggies,Organic Vegetables,Perambalur,2016-09-26,1357,0.24,203.55
Beverages,Soft Drinks,Chennai,2016-11-02,1007,0.24,433.01
Bakery,Biscuits,Kanyakumari,2016-09-26,1544,0.26,138.96
Fruits & Veggies,Organic Vegetables,Salem,2016-09-26,1537,0.18,599.43
Bakery,Breads & Buns,Ooty,2016-09-26,1530,0.18,168.3
Oil & Masala,Spices,Tirunelveli,2017-12-18,2460,0.15,738.0
Snacks,Noodles,Cumbum,2017-12-18,976,0.35,429.44
Fruits & Veggies,Organic Fruits,Coimbatore,2017-12-18,1106,0.19,298.62
Bakery,Biscuits,Tirunelveli,2017-11-20,1165,0.17,244.65
Food Grains,Rice,Chennai,2017-11-20,1244,0.14,497.6
Fruits & Veggies,Organic Fruits,Madurai,2017-11-20,1992,0.34,418.32
"Eggs, Meat & Fish",Eggs,Ooty,2017-11-20,1396,0.16,237.32
Snacks,Chocolates,Ramanadhapuram,2015-12-26,849,0.19,263.19
Oil & Masala,Masalas,Dharmapuri,2015-12-26,2488,0.14,547.36
Food Grains,Rice,Dharmapuri,2015-12-26,840,0.25,184.8
Oil & Masala,Edible Oil & Ghee,Krishnagiri,2015-12-26,1820,0.21,527.8
Oil & Masala,Masalas,Bodi,2015-12-26,1969,0.15,630.08
Food Grains,Organic Staples,Virudhunagar,2017-10-28,2261,0.23,994.84
"Eggs, Meat & Fish",Mutton,Namakkal,2017-10-28,1793,0.21,304.81
Bakery,Breads & Buns,Ooty,2017-10-28,644,0.33,96.6
Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-10-28,1359,0.17,421.29
Bakery,Breads & Buns,Dharmapuri,2017-10-28,1554,0.23,683.76
Snacks,Cookies,Tenkasi,2018-11-19,2090,0.25,292.6
Oil & Masala,Edible Oil & Ghee,Kanyakumari,2016-05-04,931,0.14,297.92
Bakery,Breads & Buns,Salem,2015-12-30,1157,0.2,404.95
Fruits & Veggies,Fresh Fruits,Ooty,2015-06-01,2396,0.35,383.36
Oil & Masala,Spices,Pudukottai,2015-06-01,1677,0.18,586.95
Snacks,Cookies,Tenkasi,2018-04-15,590,0.27,200.6
Snacks,Noodles,Namakkal,2017-09-12,1401,0.26,196.14
Oil & Masala,Edible Oil & Ghee,Viluppuram,2017-09-12,678,0.29,189.84
Snacks,Chocolates,Vellore,2017-09-12,2417,0.28,797.61
Beverages,Soft Drinks,Theni,2017-09-12,2211,0.18,641.19
Fruits & Veggies,Fresh Fruits,Perambalur,2015-09-27,2392,0.15,406.64
"Eggs, Meat & Fish",Mutton,Krishnagiri,2015-08-09,1835,0.29,660.6
Snacks,Noodles,Chennai,2015-08-09,2281,0.22,775.54
Fruits & Veggies,Fresh Vegetables,Cumbum,2015-12-28,1583,0.21,174.13
Bakery,Cakes,Vellore,2015-11-04,1123,0.23,89.84
Snacks,Cookies,Viluppuram,2015-11-04,1079,0.24,410.02
Food Grains,Organic Staples,Krishnagiri,2015-11-04,1027,0.16,328.64
Fruits & Veggies,Fresh Vegetables,Dharmapuri,2015-11-04,1771,0.28,602.14
Oil & Masala,Spices,Karur,2015-11-04,1171,0.16,363.01
Bakery,Cakes,Pudukottai,2015-09-19,672,0.16,141.12
Beverages,Health Drinks,Dindigul,2017-04-23,848,0.21,228.96
Fruits & Veggies,Fresh Vegetables,Pudukottai,2017-04-23,2078,0.21,914.32
Food Grains,Rice,Krishnagiri,2018-11-03,1400,0.17,406.0
Fruits & Veggies,Fresh Vegetables,Cumbum,2017-08-30,945,0.22,226.8
Beverages,Health Drinks,Vellore,2017-08-30,590,0.22,82.6
Beverages,Health Drinks,Dharmapuri,2017-08-30,1583,0.3,316.6
Beverages,Health Drinks,Pudukottai,2017-08-30,1534,0.15,245.44
Snacks,Noodles,Karur,2017-08-30,2133,0.12,490.59
Fruits & Veggies,Organic Fruits,Trichy,2017-04-25,2021,0.19,747.77
Beverages,Health Drinks,Salem,2017-04-25,1825,0.17,164.25
Bakery,Breads & Buns,Nagercoil,2017-04-25,2029,0.35,608.7
Oil & Masala,Spices,Perambalur,2016-09-01,1228,0.25,442.08
Food Grains,Rice,Perambalur,2016-09-01,1501,0.24,210.14
Fruits & Veggies,Organic Vegetables,Nagercoil,2016-09-01,1094,0.26,415.72
Bakery,Cakes,Dharmapuri,2015-07-12,1179,0.2,106.11
Food Grains,Atta & Flour,Viluppuram,2015-07-12,1127,0.29,416.99
Bakery,Biscuits,Namakkal,2016-06-22,601,0.26,234.39
Oil & Masala,Edible Oil & Ghee,Chennai,2015-04-13,1697,0.21,560.01
Beverages,Soft Drinks,Ooty,2015-04-13,2095,0.35,502.8
"Eggs, Meat & Fish",Chicken,Salem,2015-04-13,1132,0.24,215.08
Fruits & Veggies,Organic Vegetables,Nagercoil,2015-04-13,1561,0.35,640.01
"Eggs, Meat & Fish",Chicken,Coimbatore,2016-12-20,1238,0.1,297.12
Bakery,Breads & Buns,Tenkasi,2018-06-15,2068,0.32,165.44
Fruits & Veggies,Organic Vegetables,Pudukottai,2018-07-08,1113,0.21,356.16
Food Grains,Rice,Theni,2018-07-08,1966,0.1,629.12
"Eggs, Meat & Fish",Chicken,Madurai,2018-07-08,2138,0.13,684.16
Food Grains,Atta & Flour,Bodi,2017-09-01,978,0.17,68.46
Fruits & Veggies,Fresh Vegetables,Karur,2017-09-01,2014,0.26,684.76
Bakery,Breads & Buns,Viluppuram,2017-09-01,645,0.21,187.05
Food Grains,Rice,Karur,2017-09-01,2194,0.12,680.14
Beverages,Health Drinks,Ooty,2017-09-01,1244,0.17,62.2
Bakery,Biscuits,Kanyakumari,2017-04-08,743,0.35,289.77
Fruits & Veggies,Fresh Vegetables,Ramanadhapuram,2017-04-08,2474,0.21,593.76
Snacks,Cookies,Trichy,2017-04-08,1494,0.2,74.7
Oil & Masala,Spices,Coimbatore,2017-04-08,1174,0.19,328.72
Fruits & Veggies,Organic Vegetables,Virudhunagar,2017-04-23,1062,0.35,435.42
Fruits & Veggies,Organic Vegetables,Pudukottai,2018-03-08,2297,0.13,528.31
Snacks,Noodles,Namakkal,2018-03-08,562,0.13,56.2
